,Name,Price,image,link
0,XIAOMI Poco M3 4GB + 128GB 48MP 6000mAh 4G LTE Smartphone - Blue,"KSh 15,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/556253/1.jpg?9310,https://www.jumia.co.ke/xiaomi-poco-m3-4gb-128gb-48mp-6000mah-4g-lte-smartphone-blue-35265543.html
1,Fashion DIY Wardrobe Assemble Portable Home Storage 67*41 Inch,"KSh 2,299",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/797762/1.jpg?5731,https://www.jumia.co.ke/diy-wardrobe-assemble-portable-home-storage-6741-inch-fashion-mpg318561.html
2,Dstv 6s HD Decoder + Dish Kit + 1M Access,"KSh 2,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/751682/1.jpg?5504,https://www.jumia.co.ke/dstv-6s-hd-decoder-dish-kit-1m-access-28615782.html
3,Samsung Galaxy A12 – 6.5″ – 64GB ROM + 4GB RAM – Dual SIM – Black,"KSh 15,299",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/154484/1.jpg?6012,https://www.jumia.co.ke/galaxy-a12-6.5-64gb-rom-4gb-ram-dual-sim-black-samsung-mpg339586.html
4,"Ulefone Note 10, 6.52"", 2GB RAM + 32GB (Dual SIM), 5500mAh, Black","KSh 8,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/930843/1.jpg?7995,https://www.jumia.co.ke/note-10-6.52-2gb-ram-32gb-dual-sim-5500mah-black-ulefone-mpg324785.html
5,"Tecno Spark 7, 6.5"", 64GB + 3GB RAM (Dual SIM), 5000mAh, 4G,Spruce Green","KSh 12,899",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/867434/1.jpg?5521,https://www.jumia.co.ke/spark-7-6.5-64gb-3gb-ram-dual-sim-5000mah-4gspruce-green-tecno-mpg307190.html
6,"Vitron HTC3246,32"" Inch Digital LED TV Multiple USB,HDMI Ports,VGA","KSh 15,899",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/101813/1.jpg?2605,https://www.jumia.co.ke/32inches-smart-android-tvnetflixyoutubefacebook-vitron-mpg301487.html
7,XIAOMI Redmi 9 6.53 Inch 3GB 32GB 13.0MP Camera 4G LTE Smartphone - Green,"KSh 11,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/278803/1.jpg?3487,https://www.jumia.co.ke/xiaomi-redmi-9-6.53-inch-3gb-32gb-13.0mp-camera-4g-lte-smartphone-green-30887297.html
8,"Bruhm BFS 90MD, 90Lts Single Door Refrigerator - Inox","KSh 18,900",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/126874/1.jpg?2765,https://www.jumia.co.ke/bruhm-bfs-90md-90lts-single-door-refrigerator-inox-47862137.html
9,Bruhm BGC MT2B - 2 Burner Non Stick Gas Stove - Grey,"KSh 2,590",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/46869/1.jpg?0031,https://www.jumia.co.ke/bruhm-bgc-mt2b-2-burner-non-stick-gas-stove-grey-9686456.html
10,"Vitron HD 22” Inches,LED Digital TV -USB And HDMI CONNECTIVITY","KSh 6,750",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/343943/1.jpg?9089,https://www.jumia.co.ke/hd-22-inchesled-digital-tv-usb-and-hdmi-connectivity-vitron-mpg302826.html
11,"Amtec Sub Woofer Hometheatre Bluetooth,FM,USB-2.1 CH","KSh 3,396",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/431934/1.jpg?5109,https://www.jumia.co.ke/sub-woofer-hometheatre-bluetoothfmusb-2.1-ch-amtec-mpg324825.html
12,Hifinit By Haier 24 Inch Slim LED HD USB HDMI Digital TV - Black,"KSh 8,739",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/944232/1.jpg?4872,https://www.jumia.co.ke/hifinit-by-haier-24-inch-slim-led-hd-usb-hdmi-digital-tv-black-23244957.html
13,Generic 2000mAh Power Banks F9-2 Stereo Bluetooth Earphone,"KSh 1,140",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/812253/1.jpg?9962,https://www.jumia.co.ke/generic-2000mah-power-banks-f9-2-stereo-bluetooth-earphone-35221857.html
14,"VON VES3005FS Subwoofer 5.1CH, Bluetooth,USB - 300W","KSh 21,495",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/827542/1.jpg?9792,https://www.jumia.co.ke/von-ves3005fs-subwoofer-5.1ch-bluetoothusb-300w-24572884.html
15,Solar Max 100 Watts Panel With Free Controller,"KSh 3,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/255274/1.jpg?1464,https://www.jumia.co.ke/100-watts-panel-with-free-controller-solar-max-mpg332220.html
16,XIAOMI Redmi 9 6.53 Inch 3GB 32GB 13.0MP Camera 4G LTE Smartphone - Sunset Purple,"KSh 11,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/060053/1.jpg?7517,https://www.jumia.co.ke/xiaomi-redmi-9-6.53-inch-3gb-32gb-13.0mp-camera-4g-lte-smartphone-sunset-purple-35006059.html
17,Vision Plus VP8832SF-32″ Frameless Smart TV + Free Wall Mount,"KSh 18,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/997033/1.jpg?4709,https://www.jumia.co.ke/vision-plus-vp8832sf-32-frameless-smart-tv-free-wall-mount-33079923.html
18,Solar Africa 100Watts Solar Panel 100Watts,"KSh 4,895",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/261353/1.jpg?6283,https://www.jumia.co.ke/africa-solar-panel-all-weather-poly-100watts-18volt-free-solar-contoller-3-pieces-12v-led-bulbs-solar-africa-mpg215972.html
19,AILYONS ELP2507 Multimedia Speaker With Powerful Amplifier,"KSh 2,459",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/297193/1.jpg?1826,https://www.jumia.co.ke/ailyons-elp2507-multimedia-speaker-with-powerful-amplifier-39179286.html
20,XIAOMI Mi Smart Band 5 - AMOLED Screen - Black,"KSh 3,609",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/762613/1.jpg?0467,https://www.jumia.co.ke/xiaomi-mi-smart-band-5-amoled-screen-black-31626773.html
21,Solar Lamps DAT Solar Light With Radio,"KSh 3,350",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/476483/1.jpg?2989,https://www.jumia.co.ke/dat-solar-light-with-radio-solar-lamps-mpg327815.html
22,Fashion Flawless Slimming Tummy Waist Corset Post Partum Belt,KSh 395,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/366641/1.jpg?1125,https://www.jumia.co.ke/slimming-tummy-waist-trainer-corset-post-partum-belt-fashion-mpg278227.html
23,Fashion Strong Tummy Shaper Highwaist Panties,KSh 299 - KSh 365,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/608533/1.jpg?5346,https://www.jumia.co.ke/fashion-strong-tummy-shaper-highwaist-panties-33580689.html
24,Neelux SOLAR FLOOD LIGHT 30W +BULB,"KSh 2,190",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/886044/1.jpg?9011,https://www.jumia.co.ke/neelux-solar-flood-light-30w-bulb-44068877.html
25,Qwen Earbud Bluetooth Headset Earhook Mic Handsfree Rotation,KSh 654,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/722282/1.jpg?5366,https://www.jumia.co.ke/qwen-earbud-bluetooth-headset-earhook-mic-handsfree-rotation-28222753.html
26,VEGER Slim Ports Portable Charger- 25000mAh Power Bank.,"KSh 2,298",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/034771/1.jpg?4949,https://www.jumia.co.ke/veger-slim-ports-portable-charger-25000mah-power-bank.-17743029.html
27,Fashion Generic Mens Buckle Leather Belt - BLACK,KSh 460,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/352193/1.jpg?5034,https://www.jumia.co.ke/generic-mens-buckle-leather-belt-black-fashion-mpg318653.html
28,"VON VES0802FS Subwoofer 2.1CH, Bluetooth,USB - 80W RMS","KSh 8,995",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/890703/1.jpg?0366,https://www.jumia.co.ke/von-ves0802fs-subwoofer-2.1ch-bluetoothusb-80w-rms-30709805.html
29,XIAOMI Poco M3 4GB + 128GB 48MP 6000mAh 4G LTE Smartphone - Blue,"KSh 15,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/556253/1.jpg?9310,https://www.jumia.co.ke/xiaomi-poco-m3-4gb-128gb-48mp-6000mah-4g-lte-smartphone-blue-35265543.html
30,Fashion DIY Wardrobe Assemble Portable Home Storage 67*41 Inch,"KSh 2,299",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/797762/1.jpg?5731,https://www.jumia.co.ke/diy-wardrobe-assemble-portable-home-storage-6741-inch-fashion-mpg318561.html
31,Dstv 6s HD Decoder + Dish Kit + 1M Access,"KSh 2,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/751682/1.jpg?5504,https://www.jumia.co.ke/dstv-6s-hd-decoder-dish-kit-1m-access-28615782.html
32,Samsung Galaxy A12 – 6.5″ – 64GB ROM + 4GB RAM – Dual SIM – Black,"KSh 15,299",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/154484/1.jpg?6012,https://www.jumia.co.ke/galaxy-a12-6.5-64gb-rom-4gb-ram-dual-sim-black-samsung-mpg339586.html
33,"Ulefone Note 10, 6.52"", 2GB RAM + 32GB (Dual SIM), 5500mAh, Black","KSh 8,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/930843/1.jpg?7995,https://www.jumia.co.ke/note-10-6.52-2gb-ram-32gb-dual-sim-5500mah-black-ulefone-mpg324785.html
34,"Tecno Spark 7, 6.5"", 64GB + 3GB RAM (Dual SIM), 5000mAh, 4G,Spruce Green","KSh 12,899",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/867434/1.jpg?5521,https://www.jumia.co.ke/spark-7-6.5-64gb-3gb-ram-dual-sim-5000mah-4gspruce-green-tecno-mpg307190.html
35,"Vitron HTC3246,32"" Inch Digital LED TV Multiple USB,HDMI Ports,VGA","KSh 15,899",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/101813/1.jpg?2605,https://www.jumia.co.ke/32inches-smart-android-tvnetflixyoutubefacebook-vitron-mpg301487.html
36,XIAOMI Redmi 9 6.53 Inch 3GB 32GB 13.0MP Camera 4G LTE Smartphone - Green,"KSh 11,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/278803/1.jpg?3487,https://www.jumia.co.ke/xiaomi-redmi-9-6.53-inch-3gb-32gb-13.0mp-camera-4g-lte-smartphone-green-30887297.html
37,"Bruhm BFS 90MD, 90Lts Single Door Refrigerator - Inox","KSh 18,900",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/126874/1.jpg?2765,https://www.jumia.co.ke/bruhm-bfs-90md-90lts-single-door-refrigerator-inox-47862137.html
38,Bruhm BGC MT2B - 2 Burner Non Stick Gas Stove - Grey,"KSh 2,590",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/46869/1.jpg?0031,https://www.jumia.co.ke/bruhm-bgc-mt2b-2-burner-non-stick-gas-stove-grey-9686456.html
39,"Vitron HD 22” Inches,LED Digital TV -USB And HDMI CONNECTIVITY","KSh 6,750",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/343943/1.jpg?9089,https://www.jumia.co.ke/hd-22-inchesled-digital-tv-usb-and-hdmi-connectivity-vitron-mpg302826.html
40,"Amtec Sub Woofer Hometheatre Bluetooth,FM,USB-2.1 CH","KSh 3,396",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/431934/1.jpg?5109,https://www.jumia.co.ke/sub-woofer-hometheatre-bluetoothfmusb-2.1-ch-amtec-mpg324825.html
41,Hifinit By Haier 24 Inch Slim LED HD USB HDMI Digital TV - Black,"KSh 8,739",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/944232/1.jpg?4872,https://www.jumia.co.ke/hifinit-by-haier-24-inch-slim-led-hd-usb-hdmi-digital-tv-black-23244957.html
42,Generic 2000mAh Power Banks F9-2 Stereo Bluetooth Earphone,"KSh 1,140",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/812253/1.jpg?9962,https://www.jumia.co.ke/generic-2000mah-power-banks-f9-2-stereo-bluetooth-earphone-35221857.html
43,"VON VES3005FS Subwoofer 5.1CH, Bluetooth,USB - 300W","KSh 21,495",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/827542/1.jpg?9792,https://www.jumia.co.ke/von-ves3005fs-subwoofer-5.1ch-bluetoothusb-300w-24572884.html
44,Solar Max 100 Watts Panel With Free Controller,"KSh 3,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/255274/1.jpg?1464,https://www.jumia.co.ke/100-watts-panel-with-free-controller-solar-max-mpg332220.html
45,XIAOMI Redmi 9 6.53 Inch 3GB 32GB 13.0MP Camera 4G LTE Smartphone - Sunset Purple,"KSh 11,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/060053/1.jpg?7517,https://www.jumia.co.ke/xiaomi-redmi-9-6.53-inch-3gb-32gb-13.0mp-camera-4g-lte-smartphone-sunset-purple-35006059.html
46,Vision Plus VP8832SF-32″ Frameless Smart TV + Free Wall Mount,"KSh 18,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/997033/1.jpg?4709,https://www.jumia.co.ke/vision-plus-vp8832sf-32-frameless-smart-tv-free-wall-mount-33079923.html
47,Solar Africa 100Watts Solar Panel 100Watts,"KSh 4,895",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/261353/1.jpg?6283,https://www.jumia.co.ke/africa-solar-panel-all-weather-poly-100watts-18volt-free-solar-contoller-3-pieces-12v-led-bulbs-solar-africa-mpg215972.html
48,AILYONS ELP2507 Multimedia Speaker With Powerful Amplifier,"KSh 2,459",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/297193/1.jpg?1826,https://www.jumia.co.ke/ailyons-elp2507-multimedia-speaker-with-powerful-amplifier-39179286.html
49,XIAOMI Mi Smart Band 5 - AMOLED Screen - Black,"KSh 3,609",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/762613/1.jpg?0467,https://www.jumia.co.ke/xiaomi-mi-smart-band-5-amoled-screen-black-31626773.html
50,Solar Lamps DAT Solar Light With Radio,"KSh 3,350",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/476483/1.jpg?2989,https://www.jumia.co.ke/dat-solar-light-with-radio-solar-lamps-mpg327815.html
51,Fashion Flawless Slimming Tummy Waist Corset Post Partum Belt,KSh 395,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/366641/1.jpg?1125,https://www.jumia.co.ke/slimming-tummy-waist-trainer-corset-post-partum-belt-fashion-mpg278227.html
52,Fashion Strong Tummy Shaper Highwaist Panties,KSh 299 - KSh 365,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/608533/1.jpg?5346,https://www.jumia.co.ke/fashion-strong-tummy-shaper-highwaist-panties-33580689.html
53,Neelux SOLAR FLOOD LIGHT 30W +BULB,"KSh 2,190",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/886044/1.jpg?9011,https://www.jumia.co.ke/neelux-solar-flood-light-30w-bulb-44068877.html
54,Qwen Earbud Bluetooth Headset Earhook Mic Handsfree Rotation,KSh 654,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/722282/1.jpg?5366,https://www.jumia.co.ke/qwen-earbud-bluetooth-headset-earhook-mic-handsfree-rotation-28222753.html
55,VEGER Slim Ports Portable Charger- 25000mAh Power Bank.,"KSh 2,298",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/034771/1.jpg?4949,https://www.jumia.co.ke/veger-slim-ports-portable-charger-25000mah-power-bank.-17743029.html
56,Fashion Generic Mens Buckle Leather Belt - BLACK,KSh 460,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/352193/1.jpg?5034,https://www.jumia.co.ke/generic-mens-buckle-leather-belt-black-fashion-mpg318653.html
57,"VON VES0802FS Subwoofer 2.1CH, Bluetooth,USB - 80W RMS","KSh 8,995",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/890703/1.jpg?0366,https://www.jumia.co.ke/von-ves0802fs-subwoofer-2.1ch-bluetoothusb-80w-rms-30709805.html
