,Question,response
0,"Are all products on Jumia original, new/unused and genuine?","Yes, We are committed to offering our customers 100% genuine and original products. We also take the necessary actions to ensure that any seller found to be selling non-genuine products is immediately delisted from selling on Jumia. The only exception is for refurbished products, which we ensure the best quality grade and full warranty from the seller.
Please click on the following link and fill the form."
1,Do I need an account to shop on Jumia?,"No, you don’t need to have an account already created. You can create one on the spot, once you’ve found the product you want to buy. Alternatively you can log-in with your Facebook account."
2,How do I place an order?,"Shopping on Jumia is easy! Once you have found the product you want to buy, just follow the steps below:

Click on 'buy now', to add this product to your cart,
Click on 'cart' in the top right corner,
Register/Login into your account by entering your email and password,
Enter your shipping/billing information,
Choose your preferred payment option,
Click on 'Confirm order' to proceed to the payment portal and complete your order.

Once your order is placed, we will either automatically confirm it by notifying you via email, or we will call you for confirmation in case we need more details. Please note that this confirmation is a mandatory step before we ship your order. For any inquiries contact our Customer Service Call Center at 0700 000 990 or 0711 011 011 or click on the following link and fill the form."
3,How do I pay on Jumia?,"You can choose from the different payment methods available on Jumia. Please find below the list of available payment methods:

Cash On Delivery (easy and simple at your doorstep)
Credit/Debit Card
Mobile Money

You can find the payment methods during the final step of checkout in detail. Do not hesitate to contact our Customer Service for more information."
4,How can I return my product?,"Step 1: Log your return request

Option 1: Go to your account - create your return and you are done!
Option 2: Call our customer care at 0700 000 990, 0711 011 011 or click on the following link and fill the form.

Step 2: Pack your product

Pack your product according to the return conditions.
Include all tags, accessories or free gifts you received

Step 3: Return your product

If you requested a pickup, we will contact you to arrange a pickup time.
If you selected a drop-off: Please drop your package at the chosen place following the given instructions (no shipping charges will apply).

Click here to find out more"
5,Are there any hidden costs or charges if I order from Jumia?,There are no hidden costs or charges when you order from Jumia. All costs are 100% visible at the end of the checkout process.
6,How can I track my order?,We will update you on the status of your order via email on the progressive stages. Once the orders status is shipped you can track its whereabouts using the tracking number via the link below:  https://tracking.jumia.co.ke/package/tracking
7,How do I apply a voucher code?,"If you have a valid voucher code, follow the following steps to get the voucher discount.

Write down / Copy the voucher code
Shop on the Jumia app or Jumia.co.ke
Once done, click check-out and paste or enter the voucher code
Voucher value will be deducted from your purchase for a new total cost
Click ""confirm"" order to complete purchase

Click here for a visual step by step guide"
8,Are all products on Jumia original and genuine?,"Yes, we are committed to offering our customers 100% genuine and original products. We also take necessary actions to ensure this: any seller found to be selling non-genuine products is immediately delisted from Jumia.
Please click on the following link and fill the form if you think a product listed on our website does not meet these standards."
9,How can I check reviews/ratings of a product before buying?,It is advised that you check what other customers have said about a product before you buy Click here for a guide on how to check the reviews/ratings of a product.
10,How can I find the right product on Jumia?,"You can start by clicking on the category menu on the left side of the website, then select a category name that you prefer. This will show all the products we have in that category. Alternatively, if you know what you are looking for, just type the name of the product or brand in our search bar at the top of the page and click Search."
11,Are there any hidden costs or charges if I order from Jumia?,There are no hidden costs or charges when you order from Jumia. All costs including the shipping cost and total amount of the products purchased are 100% visible at the end of the checkout process.
12,Are the prices on Jumia negotiable?,Prices on Jumia are not negotiable. Jumia has thousands of sellers who offer you the best product prices and deals.
13,Why do I see different prices for the same product?,"Some of our products are offered by different sellers. This allows you to choose your preferred offer. If a product is sold by different sellers, you will find the alternative prices of other sellers in the product page."
